,datetime_jd,datetime_str,Canberra DSS-43,Parkes,Madrid DSS-63,Lovell,Effelsberg,AVN-Ghana,Goldstone,Green Bank,Very Large Array,Arecibo,FAST,EDSCC,Usuda Deep Space Center 
55,2462240.253,2029-Apr-13 18:05,15.419140794268722,15.41264897637262,15.801780401062917,15.8552764012746,15.745956702969059,15.534470550339812,16.678534239018838,16.600001831027296,16.698719295084203,16.550659521287862,15.15431698344799,15.594681165646383,15.599833167446524
56,2462240.257,2029-Apr-13 18:10,15.17632386497638,15.170280706937133,15.502379938922955,15.560352668411793,15.450808407754199,15.230748345719862,16.4086814580371,16.31469043525097,16.425013292212174,16.259218343540876,14.895496146434198,15.338423108382397,15.348086941494659
57,2462240.26,2029-Apr-13 18:15,14.929937160373441,14.924226202103128,15.207948481356215,15.269418274283055,15.159768125596756,14.933472913800758,16.138126585096447,16.031459989713987,16.15130658163892,15.971303805732997,14.634963686053204,15.079507843884908,15.092986448903536
58,2462240.264,2029-Apr-13 18:20,14.689927556666905,14.684692080175333,14.909576286234586,14.97556473078602,14.865893304288608,14.631079729011404,15.868219207677878,15.745966014118062,15.877437076327674,15.679594082776553,14.379431181872107,14.825680331954105,14.843717518667006
59,2462240.267,2029-Apr-13 18:25,14.446412715371766,14.441530011968021,14.616249090319839,14.685770054607033,14.576164664289784,14.335198287228026,15.597952556226433,15.462871477134764,15.603918766704682,15.39175291643789,14.12204310205261,14.569169392785724,14.591082056137337
60,2462240.271,2029-Apr-13 18:30,14.209463552374071,14.205081346696524,14.319168384458676,14.393234384999106,14.283827404805276,14.034456431869899,15.32811181634657,15.177345121986052,15.330011542911585,15.099946842862083,13.870099049521505,14.317993778226562,14.344502891110029
61,2462240.274,2029-Apr-13 18:35,13.969113545212615,13.965103196087115,14.027213559350782,14.104834327424529,13.995681494803103,13.74029469572428,15.058276376618954,14.894549882357817,15.05682699134305,14.812361506132442,13.616185233139914,14.064139728418253,14.094579113380426
62,2462240.278,2029-Apr-13 18:40,13.73552012509737,13.732033128839545,13.73173553667216,13.813909414260703,13.70519348617341,13.441584671632581,14.788652213321868,14.609173227846444,14.7830370103734,14.520666396852102,13.368176905288795,13.815875725737536,13.850939269242648
63,2462240.281,2029-Apr-13 18:45,13.49867592485983,13.49557802912188,13.441472551387557,13.527207375653974,13.418952530198172,13.149530807601373,14.519422152375997,14.32687485978717,14.510363140295821,14.233556951666461,13.118120304947224,13.564974293978034,13.604015815375076
64,2462240.285,2029-Apr-13 18:50,13.268783340859525,13.266229034784361,13.14796749903382,13.238241454330034,13.13068373623498,12.853305308069675,14.250199096554617,14.041868928783694,14.236880661304088,13.942223440436209,12.874450421141283,13.31992682310219,13.363608447286538
