,date,date_jd,ra,dec,lon,lat,lonR,latR
144,2029-Apr-14 01:30,2462240.5625,215.33598999999998,-31.338060000000006,48.91883138319435,29.559568713074885,-0.388379678574438,29.562011757567344
145,2029-Apr-14 01:35,2462240.565972222,214.78679,-31.116219999999995,49.49996062210161,29.44131429640484,-0.902997904321353,29.443742184903876
146,2029-Apr-14 01:40,2462240.569444444,214.25937,-30.9,50.05932892918932,29.32484384198857,-1.4393793271124764,29.327256328442566
147,2029-Apr-14 01:45,2462240.572916667,213.75249000000002,-30.68924,50.598096426587354,29.210191202290154,-1.9963639653433347,29.212588030441307
148,2029-Apr-14 01:50,2462240.576388889,213.26504,-30.483830000000005,51.11729466178082,29.09742028264989,-2.5729195454215983,29.099801188686286
149,2029-Apr-14 01:55,2462240.579861111,212.79592999999997,-30.28361,51.617955581809156,28.98654646896772,-3.1680142754076996,28.988911178368678
150,2029-Apr-14 02:00,2462240.583333333,212.3442,-30.088439999999995,52.1009877417106,28.877584644247406,-3.7807394753827452,28.87993287170416
151,2029-Apr-14 02:05,2462240.586805556,211.90892,-29.89817,52.567279129001356,28.770537462106088,-4.410207328985393,28.77286891142538
152,2029-Apr-14 02:10,2462240.590277778,211.48923000000002,-29.71267,53.017650698406364,28.66541704191707,-5.055596178499854,28.667731407365917
153,2029-Apr-14 02:15,2462240.59375,211.08432000000002,-29.5318,53.452882245876275,28.56221890896481,-5.716126411025016,28.564515874526638
154,2029-Apr-14 02:20,2462240.597222222,210.69346,-29.35541,53.873682751970065,28.460916225168283,-6.391088942515012,28.463195462900725
155,2029-Apr-14 02:25,2462240.600694444,210.31593,-29.183370000000004,54.28075054358216,28.361501607046286,-7.079785343954427,28.363762779872168
156,2029-Apr-14 02:30,2462240.604166667,209.95108,-29.01555,54.6747195033688,28.26395641783732,-7.781581931273706,28.266199178870696
157,2029-Apr-14 02:35,2462240.607638889,209.59829,-28.85182,55.05619744332886,28.16825785733139,-8.495870211937756,28.170481850309166
